Dataset Name,CID (Lighthouse),NFT Contract Address,Token ID,Owner Wallet Address
Open Food Facts sample,bafkreigqsjp6gfysiiuxtm3kuiy5sc7rwxnhpeilmkv47tnmshkwzwy5si,0x089f23d8A19a991aC3596b519da2a74398389d30,1,0x5815B0398927c94F90f17A4c0fc3614d087E5373airtravel.csv,bafkreihwux6gekud54ca7zyiw4yf7nxtjodsljrodhnahkn4r74fslmakq,0xb8640f7B69203aE3A0089f3A75b0f619949D9435,1,0x5815B0398927c94F90f17A4c0fc3614d087E5373
airtravel.csv,bafkreihwux6gekud54ca7zyiw4yf7nxtjodsljrodhnahkn4r74fslmakq,0xb8640f7B69203aE3A0089f3A75b0f619949D9435,2,0x5815B0398927c94F90f17A4c0fc3614d087E5373
airtravel.csv,bafkreihwux6gekud54ca7zyiw4yf7nxtjodsljrodhnahkn4r74fslmakq,0xb8640f7B69203aE3A0089f3A75b0f619949D9435,3,0x5815B0398927c94F90f17A4c0fc3614d087E5373
